PLACENS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
02390957,3644710,Malone village,C1,A,8078949,170842,+44.8482211,-74.2895797,304,Polygon
02390958,3644787,Malverne village,C1,A,2740049,0,+40.6745409,-73.6721013,305,Polygon
02390959,3644831,Mamaroneck village,C1,A,8311614,8822663,+40.9364521,-73.7261379,306,Polygon
02390960,3644853,Manchester village,C1,A,2955425,0,+42.9681139,-77.2316372,307,Polygon
02390961,3645018,Manlius village,C1,A,4715779,0,+43.0014380,-75.9822320,308,Polygon
02390962,3645073,Mannsville village,C1,A,2323671,84385,+43.7178142,-76.0668154,309,Polygon
02390963,3645106,Manorhaven village,C1,A,1215967,428449,+40.8388504,-73.7108246,310,Polygon
02390964,3645392,Marathon village,C1,A,2925636,5183,+42.4448085,-76.0362383,311,Polygon
02390965,3645480,Marcellus village,C1,A,1655581,0,+42.9837066,-76.3405002,312,Polygon
02390966,3645557,Margaretville village,C1,A,1801425,47899,+42.1452670,-74.6507083,313,Polygon
02390968,3645997,Massapequa Park village,C1,A,5676961,143952,+40.6809094,-73.4496893,314,Polygon
02390969,3646019,Massena village,C1,A,11733827,518819,+44.9290237,-74.8929731,315,Polygon
02390970,3646107,Matinecock village,C1,A,6909008,12831,+40.8593523,-73.5804716,316,Polygon
02390971,3646162,Maybrook village,C1,A,3507463,14293,+41.4880262,-74.2124683,317,Polygon
02390972,3646206,Mayfield village,C1,A,2606192,465566,+43.1019333,-74.2660139,318,Polygon
02390973,3646239,Mayville village,C1,A,5221002,6221,+42.2530992,-79.5019130,319,Polygon
00979207,3646360,Mechanicville city,C5,A,2172487,204368,+42.9041409,-73.6888878,320,Polygon
02390975,3646415,Medina village,C1,A,8543805,201006,+43.2197422,-78.3878736,321,Polygon
02390976,3646536,Menands village,C1,A,7929471,649000,+42.6911799,-73.7261881,322,Polygon
02390977,3646646,Meridian village,C1,A,1789035,0,+43.1629633,-76.5381820,323,Polygon
02390978,3646811,Mexico village,C1,A,5554763,0,+43.4652180,-76.2325741,324,Polygon
02390979,3646866,Middleburgh village,C1,A,3230542,0,+42.5979793,-74.3298284,325,Polygon
02390980,3646998,Middleport village,C1,A,2258057,0,+43.2117223,-78.4757272,326,Polygon
00979217,3647042,Middletown city,C5,A,13741253,68681,+41.4449222,-74.4235731,327,Polygon
02390981,3647108,Middleville village,C1,A,1981427,128945,+43.1389374,-74.9702345,328,Polygon
02390982,3647229,Milford village,C1,A,1098807,0,+42.5904705,-74.9468648,329,Polygon
02390984,3647273,Millbrook village,C1,A,4816653,141697,+41.7848623,-73.6920916,330,Polygon
02390985,3647361,Millerton village,C1,A,1596432,8024,+41.9554851,-73.5130763,331,Polygon
02390983,3647405,Mill Neck village,C1,A,6773705,839153,+40.8821323,-73.5589679,332,Polygon
02390986,3647427,Millport village,C1,A,901137,0,+42.2681007,-76.8362444,333,Polygon
